BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2016-02-22,НЛМК ао,NLMK,7123,186042798.5,72.7,72.42,74.84,74.66,73.77,74.66,2519800,73.83,73.83,74.66,186042798.5,186042798.5,186042798.5,,3
TQBR,2016-02-24,НЛМК ао,NLMK,6402,165815029.2,74.46,73.26,74.81,74.36,74.02,74.36,2240280,74.02,74.02,74.36,165815029.2,165815029.2,165815029.2,,3
TQBR,2016-02-25,НЛМК ао,NLMK,8198,237821943.2,74.16,73.09,75.52,74.18,74.27,74.18,3201200,74.29,74.29,74.18,237821943.2,237821943.2,237821943.2,,3
TQBR,2016-02-26,НЛМК ао,NLMK,15668,490744823.1,74.2,72.21,75.18,73.0,73.34,73.0,6691330,73.34,73.34,73.0,490744823.1,490744823.1,490744823.1,,3
TQBR,2016-02-29,НЛМК ао,NLMK,8221,213994045.0,72.95,71.6,73.7,73.6,72.58,73.6,2948700,72.57,72.57,73.6,213994045.0,213994045.0,213994045.0,,3
TQBR,2016-03-01,НЛМК ао,NLMK,5521,151002064.4,73.8,72.6,73.95,73.33,73.33,73.33,2059480,73.32,73.32,73.33,151002064.4,151002064.4,151002064.4,,3
TQBR,2016-03-02,НЛМК ао,NLMK,7075,182199769.1,73.34,72.77,74.1,74.06,73.56,74.06,2476660,73.57,73.57,74.06,182199769.1,182199769.1,182199769.1,,3
TQBR,2016-03-03,НЛМК ао,NLMK,7051,173912130.9,74.0,73.42,74.99,74.5,74.1,74.5,2346980,74.1,74.1,74.5,173912130.9,173912130.9,173912130.9,,3
TQBR,2016-03-04,НЛМК ао,NLMK,11225,303528372.0,74.43,72.91,75.86,75.58,74.15,75.58,4093820,74.14,74.14,75.58,303528372.0,303528372.0,303528372.0,,3
TQBR,2016-03-07,НЛМК ао,NLMK,8139,207136043.0,75.54,75.35,77.05,76.7,76.32,76.7,2713570,76.33,76.33,76.7,207136043.0,207136043.0,207136043.0,,3
TQBR,2016-03-09,НЛМК ао,NLMK,7855,284010787.2,76.98,76.6,77.8,77.1,77.19,77.1,3679010,77.2,77.2,77.1,284010787.2,284010787.2,284010787.2,,3
TQBR,2016-03-10,НЛМК ао,NLMK,7869,207432952.6,77.0,75.31,77.15,76.41,76.52,76.41,2724720,76.13,76.13,76.41,207432952.6,207432952.6,207432952.6,,3
TQBR,2016-03-11,НЛМК ао,NLMK,9898,258155206.6,76.4,74.9,78.11,78.11,76.51,78.11,3373990,76.51,76.51,78.11,258155206.6,258155206.6,258155206.6,,3
TQBR,2016-03-14,НЛМК ао,NLMK,10815,461103142.0,78.15,77.0,80.33,80.0,79.1,80.0,5828930,79.11,79.11,80.0,461103142.0,461103142.0,461103142.0,,3
TQBR,2016-03-15,НЛМК ао,NLMK,12506,451211316.3,80.01,78.02,81.11,78.46,79.28,78.46,5693270,79.25,79.25,78.46,451211316.3,451211316.3,451211316.3,,3
TQBR,2016-03-16,НЛМК ао,NLMK,7471,204105397.8,78.47,77.33,79.0,78.94,78.37,78.94,2604520,78.37,78.37,78.94,204105397.8,204105397.8,204105397.8,,3
TQBR,2016-03-17,НЛМК ао,NLMK,12125,346458565.9,78.94,77.97,80.3,78.26,79.23,78.26,4372680,79.23,79.23,78.26,346458565.9,346458565.9,346458565.9,,3
TQBR,2016-03-18,НЛМК ао,NLMK,10499,378528820.2,77.94,77.11,81.5,80.73,79.67,80.73,4750100,79.69,79.69,80.73,378528820.2,378528820.2,378528820.2,,3
TQBR,2016-03-21,НЛМК ао,NLMK,7816,261274017.0,80.15,79.0,81.34,80.0,80.06,80.0,3263430,80.06,80.06,80.0,261274017.0,261274017.0,261274017.0,,3
TQBR,2016-03-22,НЛМК ао,NLMK,10478,396169084.4,79.86,79.43,81.85,81.4,80.79,81.4,4902970,80.8,80.8,81.4,396169084.4,396169084.4,396169084.4,,3
TQBR,2016-03-23,НЛМК ао,NLMK,15249,489310747.2,81.68,80.85,84.24,83.18,83.04,83.18,5891480,83.05,83.05,83.18,489310747.2,489310747.2,489310747.2,,3
TQBR,2016-03-24,НЛМК ао,NLMK,27828,387218170.2,83.47,81.41,84.44,83.23,82.82,83.23,4675730,82.81,82.81,83.23,387218170.2,387218170.2,387218170.2,,3
