BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2016-06-16,Новатэк ао,NVTK,8055,761520452.0,655.0,641.2,659.9,649.3,648.6,649.3,1174080,648.6,648.6,649.3,761520452.0,761520452.0,761520452.0,,3
TQBR,2016-06-17,Новатэк ао,NVTK,6867,624399345.0,653.3,643.5,669.6,669.6,660.6,669.6,945250,660.6,660.6,669.6,624399345.0,624399345.0,624399345.0,,3
TQBR,2016-06-20,Новатэк ао,NVTK,4151,517503309.0,660.5,656.2,667.0,667.0,661.7,667.0,782090,661.7,661.7,667.0,517503309.0,517503309.0,517503309.0,,3
TQBR,2016-06-21,Новатэк ао,NVTK,5354,552926582.0,666.7,651.3,671.0,659.6,661.7,659.6,835550,661.8,661.8,659.6,552926582.0,552926582.0,552926582.0,,3
TQBR,2016-06-22,Новатэк ао,NVTK,4113,346631937.0,656.2,651.2,665.0,651.2,659.4,651.2,525700,659.4,659.4,651.2,346631937.0,346631937.0,346631937.0,,3
TQBR,2016-06-23,Новатэк ао,NVTK,4300,354769398.0,651.2,642.5,662.0,658.1,651.7,658.1,544400,651.7,651.7,658.1,354769398.0,354769398.0,354769398.0,,3
TQBR,2016-06-24,Новатэк ао,NVTK,7937,910145544.0,641.2,627.2,645.9,630.3,634.8,630.3,1433790,634.8,634.8,630.3,910145544.0,910145544.0,910145544.0,,3
TQBR,2016-06-27,Новатэк ао,NVTK,5005,450713909.0,637.0,622.0,637.0,628.4,627.8,628.4,717920,627.8,627.8,628.4,450713909.0,450713909.0,450713909.0,,3
TQBR,2016-06-28,Новатэк ао,NVTK,4528,382680460.0,632.4,627.1,638.0,627.8,632.8,627.8,604750,632.8,632.8,627.8,382680460.0,382680460.0,382680460.0,,3
TQBR,2016-06-29,Новатэк ао,NVTK,4208,361671348.0,634.0,628.6,642.7,641.9,636.9,641.9,567890,636.9,636.9,641.9,361671348.0,361671348.0,361671348.0,,3
