BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2021-02-02,Сургнфгз,SNGS,18508,1898839854.5,34.08,34.005,34.535,34.45,34.295,34.115,55390800,34.28,34.28,34.45,1771185950.5,1771185950.5,1771185950.5,0.0,3
TQBR,2021-02-03,Сургнфгз,SNGS,13028,1035431090.5,34.305,33.86,34.465,33.97,34.165,34.18,30317800,34.165,34.165,33.97,944889442.0,944889442.0,944889442.0,0.0,3
TQBR,2021-02-04,Сургнфгз,SNGS,16032,1383403694.0,34.25,33.51,34.32,33.655,33.96,33.905,40740700,33.995,33.995,33.655,1203179005.5,1203179005.5,1203179005.5,0.0,3
TQBR,2021-02-05,Сургнфгз,SNGS,17007,1209982571.0,33.995,33.665,34.13,33.905,33.925,33.87,35668500,33.93,33.93,33.905,1099256539.0,1099256539.0,1099256539.0,0.0,3
TQBR,2021-02-08,Сургнфгз,SNGS,15252,1222742456.5,34.01,33.98,34.5,34.475,34.24,34.5,35709900,34.22,34.22,34.475,1120680784.5,1120680784.5,1120680784.5,0.0,3
TQBR,2021-02-09,Сургнфгз,SNGS,18228,1332883561.0,34.695,33.88,34.7,33.935,34.12,34.115,39063900,34.13,34.13,33.935,1228621629.0,1228621629.0,1228621629.0,0.0,3
TQBR,2021-02-10,Сургнфгз,SNGS,10702,740784901.0,34.015,33.635,34.14,33.67,33.89,33.795,21857700,33.91,33.91,33.67,637346771.5,637346771.5,637346771.5,0.0,3
TQBR,2021-02-11,Сургнфгз,SNGS,8012,596813811.5,33.76,33.525,33.895,33.81,33.69,33.675,17714600,33.695,33.695,33.81,524537163.0,524537163.0,524537163.0,0.0,3
TQBR,2021-02-12,Сургнфгз,SNGS,17114,1196633473.0,33.7,33.205,33.735,33.54,33.42,33.72,35808200,33.38,33.38,33.54,1021443663.0,1021443663.0,1021443663.0,0.0,3
TQBR,2021-02-15,Сургнфгз,SNGS,9998,801121325.5,34.01,33.85,34.13,34.07,33.99,34.05,23570000,33.985,33.985,34.07,731884750.5,731884750.5,731884750.5,0.0,3
TQBR,2021-02-16,Сургнфгз,SNGS,8467,680592201.5,34.16,33.805,34.215,33.985,33.96,33.935,20040500,33.965,33.965,33.985,645556508.5,645556508.5,645556508.5,0.0,3
TQBR,2021-02-17,Сургнфгз,SNGS,16802,1656156564.0,33.98,33.89,34.7,34.0,34.215,34.195,48401500,34.235,34.235,34.0,1534558373.5,1534558373.5,1534558373.5,0.0,3
TQBR,2021-02-18,Сургнфгз,SNGS,14331,1348820870.0,34.34,33.425,34.355,33.45,33.84,33.495,39857400,33.86,33.86,33.45,1266460421.5,1266460421.5,1266460421.5,0.0,3
TQBR,2021-02-19,Сургнфгз,SNGS,11039,947781554.5,33.415,33.205,33.98,33.875,33.57,33.83,28234300,33.555,33.555,33.875,894398222.5,894398222.5,894398222.5,0.0,3
TQBR,2021-02-20,Сургнфгз,SNGS,2430,165990727.5,33.8,33.64,33.975,33.765,33.85,33.825,4903600,33.85,33.85,33.765,154343121.5,154343121.5,154343121.5,0.0,3
TQBR,2021-02-22,Сургнфгз,SNGS,7776,492767517.0,33.86,33.535,33.92,33.63,33.685,33.83,14628700,33.66,33.66,33.63,423241169.0,423241169.0,423241169.0,0.0,3
TQBR,2021-02-24,Сургнфгз,SNGS,19952,1325719037.5,33.83,33.525,34.13,33.59,33.855,33.805,39158800,33.87,33.87,33.59,1213973405.5,1213973405.5,1213973405.5,0.0,3
TQBR,2021-02-25,Сургнфгз,SNGS,12197,1161664740.5,33.85,33.57,34.01,33.68,33.73,33.59,34442600,33.735,33.735,33.68,1054320480.0,1054320480.0,1054320480.0,0.0,3
TQBR,2021-02-26,Сургнфгз,SNGS,34252,3123961499.0,33.43,32.235,33.64,32.485,32.805,32.5,95223100,32.84,32.84,32.485,2875592194.5,2875592194.5,2875592194.5,0.0,3
TQBR,2021-03-01,Сургнфгз,SNGS,15162,861588982.5,32.715,32.475,32.87,32.48,32.635,32.59,26399300,32.64,32.64,32.48,805846553.5,805846553.5,805846553.5,0.0,3
TQBR,2021-03-02,Сургнфгз,SNGS,16833,1535579005.0,32.495,32.385,33.495,33.4,33.085,33.325,46411700,33.07,33.07,33.4,1455683630.5,1455683630.5,1455683630.5,0.0,3
TQBR,2021-03-03,Сургнфгз,SNGS,12008,1177075756.5,33.47,33.37,33.915,33.695,33.625,33.585,35006600,33.62,33.62,33.695,1083389266.5,1083389266.5,1083389266.5,0.0,3
TQBR,2021-03-04,Сургнфгз,SNGS,15213,1327392596.5,33.67,33.4,34.19,33.74,33.735,33.495,39346900,33.675,33.675,33.74,856643298.0,856643298.0,856643298.0,0.0,3
TQBR,2021-03-05,Сургнфгз,SNGS,37835,3708854457.0,33.695,33.555,35.085,34.735,34.55,34.98,107354600,34.535,34.535,34.735,3497658077.0,3497658077.0,3497658077.0,0.0,3
TQBR,2021-03-09,Сургнфгз,SNGS,37884,3858464576.0,34.95,34.76,36.6,36.33,35.985,36.075,107220200,35.98,35.98,36.33,3702873156.0,3702873156.0,3702873156.0,0.0,3
TQBR,2021-03-10,Сургнфгз,SNGS,21154,1956343210.5,36.09,35.2,36.52,35.475,35.785,35.47,54671300,35.795,35.795,35.475,1897936189.5,1897936189.5,1897936189.5,0.0,3
TQBR,2021-03-11,Сургнфгз,SNGS,13237,1244870410.0,35.61,35.185,35.99,35.62,35.605,35.715,34964400,35.595,35.595,35.62,1108447602.0,1108447602.0,1108447602.0,0.0,3
TQBR,2021-03-12,Сургнфгз,SNGS,12145,1214059662.0,35.7,35.45,36.45,36.345,35.975,36.325,33749100,35.935,35.935,36.345,1104587394.5,1104587394.5,1104587394.5,0.0,3
TQBR,2021-03-15,Сургнфгз,SNGS,15700,1389821111.5,36.33,35.65,36.625,35.85,36.205,36.095,38387700,36.215,36.215,35.85,1306679510.5,1306679510.5,1306679510.5,0.0,3
TQBR,2021-03-16,Сургнфгз,SNGS,14600,1448463201.5,36.0,35.545,36.405,36.245,35.95,35.925,40288700,35.945,35.945,36.245,1311851963.0,1311851963.0,1311851963.0,0.0,3
TQBR,2021-03-17,Сургнфгз,SNGS,23550,2422929584.0,36.05,34.135,36.175,34.665,35.01,34.875,69202800,35.03,35.03,34.665,2202918574.0,2202918574.0,2202918574.0,0.0,3
TQBR,2021-03-18,Сургнфгз,SNGS,20353,1493223207.0,34.95,33.815,35.03,34.5,34.54,34.04,43231400,34.665,34.665,34.5,1131971651.5,1131971651.5,1131971651.5,0.0,3
TQBR,2021-03-19,Сургнфгз,SNGS,12202,1489502508.5,34.1,33.975,34.55,34.395,34.31,34.265,43412200,34.31,34.31,34.395,1419605251.5,1419605251.5,1419605251.5,0.0,3
TQBR,2021-03-22,Сургнфгз,SNGS,11788,978759546.0,34.5,34.075,34.615,34.5,34.32,34.285,28519500,34.315,34.315,34.5,919627382.0,919627382.0,919627382.0,0.0,3
TQBR,2021-03-23,Сургнфгз,SNGS,16648,1248715913.5,34.055,33.84,34.675,34.48,34.27,34.165,36439200,34.27,34.27,34.48,1150983242.0,1150983242.0,1150983242.0,0.0,3
TQBR,2021-03-24,Сургнфгз,SNGS,11690,874915668.0,34.375,34.025,34.745,34.425,34.46,34.24,25391000,34.465,34.465,34.425,770846540.5,770846540.5,770846540.5,0.0,3
TQBR,2021-03-25,Сургнфгз,SNGS,12553,662851442.5,34.475,34.0,34.5,34.065,34.205,34.21,19378800,34.205,34.205,34.065,633082610.0,633082610.0,633082610.0,0.0,3
TQBR,2021-03-26,Сургнфгз,SNGS,10494,1010624193.5,34.28,34.28,35.34,34.99,34.765,35.25,29070300,34.715,34.715,34.99,840790154.0,840790154.0,840790154.0,0.0,3
TQBR,2021-03-29,Сургнфгз,SNGS,8969,679393293.0,35.11,34.685,35.29,34.79,34.995,34.885,19412800,35.005,35.005,34.79,636328267.0,636328267.0,636328267.0,0.0,3
TQBR,2021-03-30,Сургнфгз,SNGS,7525,480251080.0,34.86,34.55,34.95,34.715,34.74,34.585,13823600,34.755,34.755,34.715,438260827.0,438260827.0,438260827.0,0.0,3
TQBR,2021-03-31,Сургнфгз,SNGS,12566,1045464857.5,34.65,34.315,35.06,34.55,34.68,34.53,30182600,34.64,34.64,34.55,1000069776.0,1000069776.0,1000069776.0,0.0,3
TQBR,2021-04-01,Сургнфгз,SNGS,34012,3702005050.0,34.685,34.65,36.345,35.65,35.785,36.07,103428100,35.785,35.785,35.65,3497119227.5,3497119227.5,3497119227.5,0.0,3
TQBR,2021-04-02,Сургнфгз,SNGS,41839,4699313019.0,36.18,36.045,37.45,36.89,36.905,37.05,127367600,36.89,36.89,36.89,4532547884.0,4532547884.0,4532547884.0,0.0,3
TQBR,2021-04-05,Сургнфгз,SNGS,26046,2283497375.5,37.0,35.625,37.345,35.905,36.225,35.87,63071200,36.235,36.235,35.905,2107315000.0,2107315000.0,2107315000.0,0.0,3
TQBR,2021-04-06,Сургнфгз,SNGS,23301,1904751051.5,35.86,34.825,35.99,34.9,35.13,34.9,54218800,35.145,35.145,34.9,1776185124.5,1776185124.5,1776185124.5,0.0,3
TQBR,2021-04-07,Сургнфгз,SNGS,10623,885805353.0,34.79,34.55,35.17,34.92,34.935,34.96,25357200,34.935,34.935,34.92,834225308.5,834225308.5,834225308.5,0.0,3
TQBR,2021-04-08,Сургнфгз,SNGS,10930,976278902.0,35.19,34.4,35.195,34.575,34.66,34.59,28165500,34.67,34.67,34.575,913576689.0,913576689.0,913576689.0,0.0,3
TQBR,2021-04-09,Сургнфгз,SNGS,15145,1084973800.0,34.595,34.07,34.77,34.18,34.385,34.31,31552300,34.39,34.39,34.18,1055038860.5,1055038860.5,1055038860.5,0.0,3
TQBR,2021-04-12,Сургнфгз,SNGS,10520,725782958.0,34.2,34.105,34.75,34.48,34.49,34.6,21044700,34.485,34.485,34.48,696529722.0,696529722.0,696529722.0,0.0,3
TQBR,2021-04-13,Сургнфгз,SNGS,9410,735029921.0,34.715,34.27,34.735,34.405,34.455,34.605,21328700,34.435,34.435,34.405,608710639.0,608710639.0,608710639.0,0.0,3
TQBR,2021-04-14,Сургнфгз,SNGS,21310,2278587164.0,34.745,34.74,35.605,35.08,35.23,35.125,64675200,35.24,35.24,35.08,2155523372.0,2155523372.0,2155523372.0,0.0,3
TQBR,2021-04-15,Сургнфгз,SNGS,14396,1430117322.0,34.975,34.795,35.65,35.65,35.35,35.41,40454600,35.345,35.345,35.65,1333538188.0,1333538188.0,1333538188.0,0.0,3
TQBR,2021-04-16,Сургнфгз,SNGS,16660,1030741898.0,35.545,35.135,35.85,35.435,35.465,35.39,29056700,35.475,35.475,35.435,968349945.5,968349945.5,968349945.5,0.0,3
TQBR,2021-04-19,Сургнфгз,SNGS,7869,714492063.5,35.39,34.91,35.5,35.1,35.14,34.995,20329800,35.155,35.155,35.1,674445951.5,674445951.5,674445951.5,0.0,3
TQBR,2021-04-20,Сургнфгз,SNGS,9829,832756289.5,35.01,34.97,35.45,35.43,35.21,35.235,23649900,35.205,35.205,35.43,757740690.0,757740690.0,757740690.0,0.0,3
TQBR,2021-04-21,Сургнфгз,SNGS,10875,887470838.5,35.185,35.005,35.585,35.12,35.275,35.22,25145800,35.305,35.305,35.12,819176176.5,819176176.5,819176176.5,0.0,3
TQBR,2021-04-22,Сургнфгз,SNGS,14664,1291504567.0,35.14,34.8,35.615,35.615,35.25,35.305,36639700,35.24,35.24,35.615,1231096194.5,1231096194.5,1231096194.5,0.0,3
TQBR,2021-04-23,Сургнфгз,SNGS,6385,569666451.0,35.49,35.195,35.585,35.515,35.43,35.4,16073300,35.445,35.445,35.515,539746108.5,539746108.5,539746108.5,0.0,3
TQBR,2021-04-26,Сургнфгз,SNGS,9957,735939184.0,35.6,34.98,35.66,35.075,35.12,35.155,20954500,35.125,35.125,35.075,684318660.0,684318660.0,684318660.0,0.0,3
TQBR,2021-04-27,Сургнфгз,SNGS,9014,571431092.5,35.08,34.85,35.295,34.93,35.04,35.09,16307300,35.045,35.045,34.93,533557532.0,533557532.0,533557532.0,0.0,3
TQBR,2021-04-28,Сургнфгз,SNGS,12162,1058759491.5,35.09,34.38,35.09,34.4,34.6,34.575,30595700,34.61,34.61,34.4,1010683124.5,1010683124.5,1010683124.5,0.0,3
TQBR,2021-04-29,Сургнфгз,SNGS,10617,871075368.0,34.65,34.15,34.825,34.25,34.385,34.41,25328000,34.4,34.4,34.25,803595594.5,803595594.5,803595594.5,0.0,3
TQBR,2021-04-30,Сургнфгз,SNGS,11467,1088999894.5,34.32,33.93,34.51,34.06,34.09,34.11,31937700,34.1,34.1,34.06,1049583793.0,1049583793.0,1049583793.0,0.0,3
TQBR,2021-05-04,Сургнфгз,SNGS,9608,840422402.0,34.11,34.11,34.58,34.39,34.355,34.475,24457300,34.36,34.36,34.39,803597779.0,803597779.0,803597779.0,0.0,3
TQBR,2021-05-05,Сургнфгз,SNGS,20394,1689500132.5,34.52,34.52,35.95,35.825,35.46,35.78,47643500,35.44,35.44,35.825,1569005940.0,1569005940.0,1569005940.0,0.0,3
TQBR,2021-05-06,Сургнфгз,SNGS,11427,916484966.5,35.78,35.2,35.85,35.28,35.42,35.315,25874500,35.43,35.43,35.28,838839650.5,838839650.5,838839650.5,0.0,3
TQBR,2021-05-07,Сургнфгз,SNGS,8073,656077545.0,35.37,35.15,35.71,35.65,35.44,35.475,18511500,35.435,35.435,35.65,599653697.0,599653697.0,599653697.0,0.0,3
TQBR,2021-05-10,Сургнфгз,SNGS,7383,489000429.0,35.695,35.4,35.835,35.5,35.61,35.4,13731400,35.625,35.625,35.5,453215854.0,453215854.0,453215854.0,0.0,3
TQBR,2021-05-11,Сургнфгз,SNGS,11778,823157889.5,35.35,35.045,35.825,35.8,35.54,35.63,23162100,35.53,35.53,35.8,780020415.0,780020415.0,780020415.0,0.0,3
TQBR,2021-05-12,Сургнфгз,SNGS,11461,743424777.0,35.635,35.425,35.91,35.74,35.68,35.595,20836900,35.685,35.685,35.74,686136919.0,686136919.0,686136919.0,0.0,3
TQBR,2021-05-13,Сургнфгз,SNGS,9789,699101776.5,35.5,35.38,35.805,35.645,35.61,35.585,19631200,35.615,35.615,35.645,628886140.0,628886140.0,628886140.0,0.0,3
TQBR,2021-05-14,Сургнфгз,SNGS,7597,546287367.0,35.68,35.38,35.735,35.645,35.565,35.67,15360900,35.555,35.555,35.645,503670362.0,503670362.0,503670362.0,0.0,3
TQBR,2021-05-17,Сургнфгз,SNGS,26083,2714050275.5,35.71,35.615,37.14,36.555,36.68,36.94,73979400,36.685,36.685,36.555,2598291359.0,2598291359.0,2598291359.0,0.0,3
TQBR,2021-05-18,Сургнфгз,SNGS,20450,1857959678.0,37.1,36.15,37.365,36.44,36.72,36.355,50598900,36.74,36.74,36.44,1733500446.5,1733500446.5,1733500446.5,0.0,3
TQBR,2021-05-19,Сургнфгз,SNGS,24502,2598402558.5,36.365,36.255,37.15,36.6,36.775,36.815,70653300,36.78,36.78,36.6,2489064272.5,2489064272.5,2489064272.5,0.0,3
TQBR,2021-05-20,Сургнфгз,SNGS,19162,1878962820.5,36.805,35.795,36.935,35.975,36.205,35.98,51899500,36.22,36.22,35.975,1758240076.0,1758240076.0,1758240076.0,0.0,3
TQBR,2021-05-21,Сургнфгз,SNGS,10883,770924019.0,35.915,35.5,36.13,35.81,35.835,35.675,21513900,35.855,35.855,35.81,664563196.0,664563196.0,664563196.0,0.0,3
TQBR,2021-05-24,Сургнфгз,SNGS,7715,597739485.5,35.77,35.64,36.01,35.67,35.83,35.74,16682900,35.835,35.835,35.67,570967497.5,570967497.5,570967497.5,0.0,3
